free_annotation
cell__1	Acinar cells
cell__302	Ductal - CRISP3 high/centroacinar like
cell__303	Cancer clone B
cell__304	Ductal - CRISP3 high/centroacinar like
cell__305	Ductal - CRISP3 high/centroacinar like
cell__306	Tuft cells
cell__307	Ductal - CRISP3 high/centroacinar like
cell__308	Ductal - CRISP3 high/centroacinar like
cell__309	Ductal - terminal ductal like
cell__310	Ductal - CRISP3 high/centroacinar like
cell__311	Ductal - CRISP3 high/centroacinar like
cell__312	Ductal - MHC Class II
cell__313	Cancer clone B
cell__314	Cancer clone A
cell__315	Ductal - terminal ductal like
cell__316	Macrophages A
cell__317	Ductal - MHC Class II
cell__318	Ductal - CRISP3 high/centroacinar like
cell__319	Ductal - MHC Class II
cell__320	Ductal - MHC Class II
cell__321	Monocytes
cell__322	Ductal - terminal ductal like
cell__323	Ductal - APOL1 high/hypoxic
cell__324	T cells & NK cells
cell__325	Ductal - CRISP3 high/centroacinar like
cell__326	Ductal - APOL1 high/hypoxic
cell__327	Ductal - terminal ductal like
cell__328	mDCs B
cell__329	T cells & NK cells
cell__330	Ductal - CRISP3 high/centroacinar like
cell__331	T cells & NK cells
cell__332	Cancer clone A
cell__333	Ductal - APOL1 high/hypoxic
cell__334	Cancer clone B
cell__335	Ductal - terminal ductal like
cell__336	Ductal - terminal ductal like
cell__337	Cancer clone B
cell__338	Cancer clone A
cell__339	Ductal - APOL1 high/hypoxic
cell__340	Ductal - APOL1 high/hypoxic
cell__341	Ductal - CRISP3 high/centroacinar like
cell__342	Ductal - MHC Class II
cell__343	T cells & NK cells
cell__344	Cancer clone B
cell__345	T cells & NK cells
cell__346	Ductal - APOL1 high/hypoxic
cell__347	Ductal - APOL1 high/hypoxic
cell__348	Cancer clone A
cell__349	Ductal - MHC Class II
cell__350	Ductal - CRISP3 high/centroacinar like
cell__351	Ductal - CRISP3 high/centroacinar like
cell__352	Ductal - MHC Class II
cell__353	Ductal - CRISP3 high/centroacinar like
cell__354	Ductal - APOL1 high/hypoxic
cell__355	RBCs
