free_annotation
cell__1	Acinar cells
cell__1453	Ductal - terminal ductal like
cell__1454	Ductal - APOL1 high/hypoxic
cell__1455	Ductal - CRISP3 high/centroacinar like
cell__1456	Cancer clone B
cell__1457	Cancer clone B
cell__1458	Ductal - terminal ductal like
cell__1459	Ductal - CRISP3 high/centroacinar like
cell__1460	Ductal - CRISP3 high/centroacinar like
cell__1461	Ductal - MHC Class II
cell__1462	Ductal - CRISP3 high/centroacinar like
cell__1463	Ductal - MHC Class II
cell__1464	Cancer clone B
cell__1465	Mast cells
cell__1466	Ductal - terminal ductal like
cell__1467	Ductal - CRISP3 high/centroacinar like
cell__1468	Ductal - terminal ductal like
cell__1469	Ductal - APOL1 high/hypoxic
cell__1470	Cancer clone A
cell__1471	Ductal - terminal ductal like
cell__1472	mDCs B
cell__1473	Endothelial cells
cell__1474	Cancer clone B
cell__1475	mDCs B
cell__1476	Ductal - APOL1 high/hypoxic
cell__1477	Ductal - CRISP3 high/centroacinar like
cell__1478	Ductal - terminal ductal like
cell__1479	Ductal - CRISP3 high/centroacinar like
cell__1480	Ductal - CRISP3 high/centroacinar like
cell__1481	Ductal - terminal ductal like
cell__1482	Ductal - terminal ductal like
cell__1483	Ductal - MHC Class II
cell__1484	Ductal - terminal ductal like
cell__1485	Mast cells
cell__1486	Ductal - CRISP3 high/centroacinar like
cell__1487	Ductal - terminal ductal like
cell__1488	Ductal - MHC Class II
cell__1489	Ductal - CRISP3 high/centroacinar like
cell__1490	Ductal - CRISP3 high/centroacinar like
cell__1491	Ductal - CRISP3 high/centroacinar like
cell__1492	Ductal - terminal ductal like
cell__1493	Ductal - MHC Class II
cell__1494	Ductal - APOL1 high/hypoxic
cell__1495	Ductal - CRISP3 high/centroacinar like
cell__1496	Ductal - CRISP3 high/centroacinar like
cell__1497	Cancer clone A
cell__1498	Ductal - APOL1 high/hypoxic
cell__1499	Ductal - CRISP3 high/centroacinar like
cell__1500	Ductal - CRISP3 high/centroacinar like
cell__1501	Cancer clone A
cell__1502	Cancer clone B
cell__1503	Ductal - terminal ductal like
cell__1504	Ductal - terminal ductal like
cell__1505	Ductal - MHC Class II
cell__1506	Ductal - APOL1 high/hypoxic
cell__1507	Ductal - terminal ductal like
cell__1508	Ductal - terminal ductal like
cell__1509	Ductal - CRISP3 high/centroacinar like
cell__1510	Ductal - terminal ductal like
cell__1511	Cancer clone B
cell__1512	mDCs B
cell__1513	Acinar cells
cell__1514	Ductal - CRISP3 high/centroacinar like
cell__1515	Ductal - terminal ductal like
cell__1516	Cancer clone B
cell__1517	Ductal - MHC Class II
cell__1518	Ductal - APOL1 high/hypoxic
cell__1519	Ductal - MHC Class II
cell__1520	Ductal - CRISP3 high/centroacinar like
cell__1521	Ductal - MHC Class II
cell__1522	Ductal - MHC Class II
cell__1523	Ductal - CRISP3 high/centroacinar like
cell__1524	Ductal - MHC Class II
cell__1525	Ductal - CRISP3 high/centroacinar like
cell__1526	Ductal - CRISP3 high/centroacinar like
cell__1527	Ductal - MHC Class II
cell__1528	mDCs B
cell__1529	Ductal - terminal ductal like
cell__1530	Ductal - terminal ductal like
cell__1531	Fibroblasts
cell__1532	Ductal - terminal ductal like
cell__1533	Ductal - terminal ductal like
cell__1534	Ductal - MHC Class II
cell__1535	Cancer clone B
cell__1536	Ductal - CRISP3 high/centroacinar like
cell__1537	Ductal - APOL1 high/hypoxic
cell__1538	T cells & NK cells
cell__1539	Ductal - CRISP3 high/centroacinar like
cell__1540	Ductal - terminal ductal like
cell__1541	Ductal - CRISP3 high/centroacinar like
cell__1542	Ductal - MHC Class II
cell__1543	Ductal - APOL1 high/hypoxic
cell__1544	Ductal - terminal ductal like
cell__1545	Ductal - terminal ductal like
cell__1546	Ductal - APOL1 high/hypoxic
cell__1547	Ductal - CRISP3 high/centroacinar like
cell__1548	Ductal - MHC Class II
cell__1549	Ductal - terminal ductal like
cell__1550	Cancer clone B
cell__1551	Ductal - CRISP3 high/centroacinar like
cell__1552	Ductal - APOL1 high/hypoxic
cell__1553	Ductal - CRISP3 high/centroacinar like
cell__1554	Ductal - terminal ductal like
cell__1555	Ductal - CRISP3 high/centroacinar like
cell__1556	Ductal - MHC Class II
cell__1557	Ductal - terminal ductal like
cell__1558	Ductal - CRISP3 high/centroacinar like
cell__1559	Ductal - APOL1 high/hypoxic
cell__1560	Ductal - CRISP3 high/centroacinar like
cell__1561	Ductal - MHC Class II
cell__1562	Ductal - CRISP3 high/centroacinar like
cell__1563	Mast cells
cell__1564	Cancer clone B
cell__1565	Ductal - APOL1 high/hypoxic
cell__1566	Ductal - MHC Class II
cell__1567	Ductal - terminal ductal like
cell__1568	Ductal - APOL1 high/hypoxic
cell__1569	Cancer clone A
cell__1570	Cancer clone A
cell__1571	Ductal - CRISP3 high/centroacinar like
cell__1572	Ductal - CRISP3 high/centroacinar like
cell__1573	Ductal - MHC Class II
cell__1574	Ductal - MHC Class II
cell__1575	Tuft cells
cell__1576	Ductal - terminal ductal like
cell__1577	Cancer clone A
cell__1578	Ductal - MHC Class II
cell__1579	Cancer clone B
cell__1580	Cancer clone B
cell__1581	Ductal - APOL1 high/hypoxic
cell__1582	T cells & NK cells
cell__1583	Ductal - CRISP3 high/centroacinar like
cell__1584	Ductal - terminal ductal like
cell__1585	Cancer clone A
cell__1586	Mast cells
cell__1587	Ductal - APOL1 high/hypoxic
cell__1588	Ductal - APOL1 high/hypoxic
cell__1589	Ductal - MHC Class II
cell__1590	Ductal - terminal ductal like
cell__1591	Macrophages A
cell__1592	Ductal - CRISP3 high/centroacinar like
cell__1593	Ductal - MHC Class II
cell__1594	Ductal - APOL1 high/hypoxic
cell__1595	Ductal - APOL1 high/hypoxic
cell__1596	Ductal - terminal ductal like
cell__1597	Ductal - CRISP3 high/centroacinar like
cell__1598	Cancer clone B
cell__1599	Endothelial cells
cell__1600	Cancer clone A
cell__1601	Ductal - MHC Class II
cell__1602	Ductal - CRISP3 high/centroacinar like
cell__1603	Tuft cells
cell__1604	Tuft cells
cell__1605	Ductal - CRISP3 high/centroacinar like
cell__1606	Monocytes
cell__1607	Ductal - MHC Class II
cell__1608	Cancer clone B
cell__1609	Ductal - CRISP3 high/centroacinar like
cell__1610	Ductal - terminal ductal like
cell__1611	Cancer clone B
cell__1612	mDCs B
cell__1613	Acinar cells
cell__1614	Ductal - CRISP3 high/centroacinar like
cell__1615	pDCs
cell__1616	Ductal - terminal ductal like
cell__1617	Ductal - CRISP3 high/centroacinar like
cell__1618	Ductal - MHC Class II
cell__1619	Cancer clone A
cell__1620	Ductal - CRISP3 high/centroacinar like
cell__1621	Ductal - terminal ductal like
cell__1622	Ductal - terminal ductal like
cell__1623	Ductal - CRISP3 high/centroacinar like
cell__1624	Ductal - CRISP3 high/centroacinar like
cell__1625	Ductal - APOL1 high/hypoxic
cell__1626	Ductal - APOL1 high/hypoxic
cell__1627	Ductal - MHC Class II
cell__1628	Ductal - CRISP3 high/centroacinar like
cell__1629	Cancer clone A
cell__1630	Ductal - APOL1 high/hypoxic
cell__1631	Ductal - CRISP3 high/centroacinar like
cell__1632	Ductal - APOL1 high/hypoxic
cell__1633	Ductal - terminal ductal like
cell__1634	Ductal - CRISP3 high/centroacinar like
cell__1635	Ductal - CRISP3 high/centroacinar like
cell__1636	Acinar cells
cell__1637	Ductal - APOL1 high/hypoxic
cell__1638	Ductal - CRISP3 high/centroacinar like
cell__1639	Ductal - MHC Class II
cell__1640	Cancer clone B
cell__1641	Monocytes
cell__1642	T cells & NK cells
cell__1643	Monocytes
cell__1644	Cancer clone B
cell__1645	Ductal - APOL1 high/hypoxic
cell__1646	T cells & NK cells
cell__1647	Macrophages A
cell__1648	Ductal - terminal ductal like
cell__1649	Ductal - terminal ductal like
cell__1650	Ductal - CRISP3 high/centroacinar like
cell__1651	Ductal - terminal ductal like
cell__1652	Tuft cells
cell__1653	Ductal - terminal ductal like
cell__1654	Ductal - CRISP3 high/centroacinar like
cell__1655	mDCs B
cell__1656	Ductal - CRISP3 high/centroacinar like
cell__1657	pDCs
cell__1658	RBCs
cell__1659	Ductal - MHC Class II
cell__1660	RBCs
cell__1661	Ductal - MHC Class II
cell__1662	Acinar cells
cell__1663	Ductal - CRISP3 high/centroacinar like
cell__1664	Ductal - APOL1 high/hypoxic
cell__1665	Ductal - CRISP3 high/centroacinar like
cell__1666	Ductal - CRISP3 high/centroacinar like
cell__1667	Macrophages A
cell__1668	Ductal - MHC Class II
cell__1669	Cancer clone A
cell__1670	Cancer clone A
cell__1671	Cancer clone A
cell__1672	Ductal - CRISP3 high/centroacinar like
cell__1673	Ductal - CRISP3 high/centroacinar like
cell__1674	Ductal - APOL1 high/hypoxic
cell__1675	Ductal - terminal ductal like
cell__1676	Ductal - terminal ductal like
cell__1677	Ductal - CRISP3 high/centroacinar like
cell__1678	Tuft cells
cell__1679	Ductal - CRISP3 high/centroacinar like
cell__1680	Ductal - APOL1 high/hypoxic
cell__1681	Ductal - CRISP3 high/centroacinar like
cell__1682	Ductal - MHC Class II
cell__1683	Ductal - CRISP3 high/centroacinar like
cell__1684	Cancer clone A
cell__1685	Mast cells
cell__1686	Ductal - terminal ductal like
cell__1687	Ductal - MHC Class II
cell__1688	Ductal - CRISP3 high/centroacinar like
cell__1689	Ductal - CRISP3 high/centroacinar like
cell__1690	Cancer clone A
cell__1691	Ductal - CRISP3 high/centroacinar like
cell__1692	Ductal - terminal ductal like
cell__1693	Ductal - CRISP3 high/centroacinar like
cell__1694	Ductal - CRISP3 high/centroacinar like
cell__1695	Ductal - terminal ductal like
cell__1696	Ductal - MHC Class II
cell__1697	Ductal - MHC Class II
cell__1698	Ductal - MHC Class II
cell__1699	Ductal - CRISP3 high/centroacinar like
cell__1700	Ductal - APOL1 high/hypoxic
cell__1701	Ductal - CRISP3 high/centroacinar like
cell__1702	Cancer clone B
cell__1703	Ductal - terminal ductal like
cell__1704	Cancer clone B
cell__1705	Ductal - CRISP3 high/centroacinar like
cell__1706	mDCs A
cell__1707	Fibroblasts
cell__1708	Ductal - MHC Class II
cell__1709	Ductal - APOL1 high/hypoxic
cell__1710	Ductal - CRISP3 high/centroacinar like
cell__1711	Cancer clone A
cell__1712	Ductal - MHC Class II
cell__1713	Ductal - CRISP3 high/centroacinar like
cell__1714	Ductal - CRISP3 high/centroacinar like
cell__1715	Ductal - CRISP3 high/centroacinar like
cell__1716	Ductal - terminal ductal like
cell__1717	Ductal - terminal ductal like
cell__1718	Ductal - terminal ductal like
cell__1719	Cancer clone A
cell__1720	Ductal - MHC Class II
cell__1721	Ductal - terminal ductal like
cell__1722	Ductal - MHC Class II
cell__1723	Cancer clone B
cell__1724	Ductal - CRISP3 high/centroacinar like
cell__1725	Cancer clone B
cell__1726	Cancer clone B
cell__1727	Ductal - CRISP3 high/centroacinar like
cell__1728	Cancer clone A
cell__1729	Ductal - terminal ductal like
cell__1730	Cancer clone B
cell__1731	Ductal - APOL1 high/hypoxic
cell__1732	Ductal - terminal ductal like
cell__1733	Ductal - CRISP3 high/centroacinar like
cell__1734	Macrophages A
cell__1735	Ductal - CRISP3 high/centroacinar like
cell__1736	Ductal - APOL1 high/hypoxic
cell__1737	Ductal - terminal ductal like
cell__1738	Ductal - terminal ductal like
cell__1739	Ductal - MHC Class II
cell__1740	Ductal - MHC Class II
cell__1741	Ductal - terminal ductal like
cell__1742	Ductal - MHC Class II
cell__1743	Cancer clone B
cell__1744	Ductal - terminal ductal like
cell__1745	Endothelial cells
cell__1746	Endothelial cells
cell__1747	Ductal - CRISP3 high/centroacinar like
cell__1748	Ductal - CRISP3 high/centroacinar like
cell__1749	Ductal - MHC Class II
cell__1750	Cancer clone B
cell__1751	Ductal - MHC Class II
cell__1752	Ductal - MHC Class II
cell__1753	Ductal - APOL1 high/hypoxic
cell__1754	Ductal - CRISP3 high/centroacinar like
cell__1755	Ductal - terminal ductal like
cell__1756	Ductal - CRISP3 high/centroacinar like
cell__1757	Ductal - CRISP3 high/centroacinar like
cell__1758	Ductal - terminal ductal like
cell__1759	Ductal - APOL1 high/hypoxic
cell__1760	Ductal - CRISP3 high/centroacinar like
cell__1761	Ductal - APOL1 high/hypoxic
cell__1762	Ductal - MHC Class II
cell__1763	mDCs A
cell__1764	Mast cells
cell__1765	Ductal - APOL1 high/hypoxic
cell__1766	Ductal - APOL1 high/hypoxic
cell__1767	Ductal - CRISP3 high/centroacinar like
cell__1768	Ductal - CRISP3 high/centroacinar like
cell__1769	Ductal - CRISP3 high/centroacinar like
cell__1770	Ductal - MHC Class II
cell__1771	Ductal - terminal ductal like
cell__1772	Ductal - CRISP3 high/centroacinar like
cell__1773	Ductal - MHC Class II
cell__1774	Ductal - terminal ductal like
cell__1775	Ductal - terminal ductal like
cell__1776	Ductal - CRISP3 high/centroacinar like
cell__1777	Ductal - terminal ductal like
cell__1778	Ductal - MHC Class II
cell__1779	Ductal - terminal ductal like
cell__1780	Tuft cells
cell__1781	Ductal - CRISP3 high/centroacinar like
cell__1782	pDCs
cell__1783	Ductal - terminal ductal like
cell__1784	Ductal - CRISP3 high/centroacinar like
cell__1785	Ductal - terminal ductal like
cell__1786	Cancer clone B
cell__1787	Ductal - MHC Class II
cell__1788	Ductal - MHC Class II
cell__1789	Ductal - terminal ductal like
cell__1790	Cancer clone A
cell__1791	Ductal - terminal ductal like
cell__1792	Ductal - CRISP3 high/centroacinar like
cell__1793	Ductal - MHC Class II
cell__1794	Ductal - CRISP3 high/centroacinar like
cell__1795	Ductal - terminal ductal like
cell__1796	Cancer clone B
cell__1797	Ductal - MHC Class II
cell__1798	Ductal - CRISP3 high/centroacinar like
cell__1799	Ductal - CRISP3 high/centroacinar like
cell__1800	Ductal - MHC Class II
cell__1801	Ductal - terminal ductal like
cell__1802	Ductal - MHC Class II
cell__1803	T cells & NK cells
cell__1804	Ductal - CRISP3 high/centroacinar like
cell__1805	Ductal - APOL1 high/hypoxic
cell__1806	Ductal - CRISP3 high/centroacinar like
cell__1807	Ductal - terminal ductal like
cell__1808	Ductal - CRISP3 high/centroacinar like
cell__1809	Ductal - CRISP3 high/centroacinar like
cell__1810	mDCs B
cell__1811	Cancer clone B
cell__1812	Acinar cells
cell__1813	Ductal - MHC Class II
cell__1814	Ductal - CRISP3 high/centroacinar like
cell__1815	mDCs B
cell__1816	mDCs A
cell__1817	Ductal - CRISP3 high/centroacinar like
cell__1818	Cancer clone A
cell__1819	Tuft cells
cell__1820	Ductal - CRISP3 high/centroacinar like
cell__1821	Macrophages A
cell__1822	Ductal - MHC Class II
cell__1823	Ductal - APOL1 high/hypoxic
cell__1824	Ductal - APOL1 high/hypoxic
cell__1825	Ductal - APOL1 high/hypoxic
cell__1826	Ductal - MHC Class II
cell__1827	Ductal - CRISP3 high/centroacinar like
cell__1828	Cancer clone A
cell__1829	Ductal - CRISP3 high/centroacinar like
cell__1830	Ductal - CRISP3 high/centroacinar like
cell__1831	mDCs B
cell__1832	Ductal - CRISP3 high/centroacinar like
cell__1833	Ductal - APOL1 high/hypoxic
cell__1834	Cancer clone B
cell__1835	Ductal - MHC Class II
cell__1836	Ductal - terminal ductal like
cell__1837	Cancer clone B
cell__1838	Cancer clone B
cell__1839	Ductal - CRISP3 high/centroacinar like
cell__1840	Ductal - CRISP3 high/centroacinar like
cell__1841	Ductal - MHC Class II
cell__1842	Ductal - terminal ductal like
cell__1843	Endocrine cells
cell__1844	Macrophages B
cell__1845	Tuft cells
cell__1846	pDCs
cell__1847	Cancer clone B
cell__1848	T cells & NK cells
cell__1849	Ductal - terminal ductal like
cell__1850	Ductal - terminal ductal like
cell__1851	T cells & NK cells
cell__1852	Ductal - APOL1 high/hypoxic
cell__1853	mDCs A
cell__1854	Ductal - CRISP3 high/centroacinar like
cell__1855	Macrophages B
cell__1856	Ductal - MHC Class II
cell__1857	Ductal - APOL1 high/hypoxic
cell__1858	T cells & NK cells
cell__1859	Monocytes
cell__1860	Ductal - APOL1 high/hypoxic
cell__1861	Cancer clone A
cell__1862	Cancer clone B
cell__1863	Ductal - MHC Class II
cell__1864	Ductal - APOL1 high/hypoxic
cell__1865	Cancer clone B
cell__1866	RBCs
cell__1867	Ductal - terminal ductal like
cell__1868	Cancer clone A
cell__1869	Ductal - MHC Class II
cell__1870	Ductal - CRISP3 high/centroacinar like
cell__1871	Ductal - CRISP3 high/centroacinar like
cell__1872	Cancer clone B
cell__1873	Cancer clone B
cell__1874	Ductal - MHC Class II
cell__1875	T cells & NK cells
cell__1876	Ductal - CRISP3 high/centroacinar like
cell__1877	mDCs B
cell__1878	Cancer clone B
cell__1879	Ductal - terminal ductal like
cell__1880	Tuft cells
cell__1881	Ductal - MHC Class II
cell__1882	Ductal - APOL1 high/hypoxic
cell__1883	Endothelial cells
cell__1884	Ductal - terminal ductal like
cell__1885	Ductal - terminal ductal like
cell__1886	Ductal - terminal ductal like
cell__1887	Monocytes
cell__1888	Tuft cells
cell__1889	Cancer clone A
cell__1890	Cancer clone A
cell__1891	Ductal - MHC Class II
cell__1892	Tuft cells
cell__1893	Ductal - CRISP3 high/centroacinar like
cell__1894	Ductal - MHC Class II
cell__1895	T cells & NK cells
cell__1896	Ductal - CRISP3 high/centroacinar like
cell__1897	Ductal - terminal ductal like
cell__1898	Ductal - terminal ductal like
cell__1899	Ductal - terminal ductal like
cell__1900	Ductal - CRISP3 high/centroacinar like
cell__1901	Ductal - CRISP3 high/centroacinar like
cell__1902	Ductal - MHC Class II
cell__1903	mDCs A
cell__1904	Ductal - CRISP3 high/centroacinar like
cell__1905	Ductal - CRISP3 high/centroacinar like
cell__1906	Ductal - APOL1 high/hypoxic
cell__1907	Cancer clone B
cell__1908	T cells & NK cells
cell__1909	Ductal - APOL1 high/hypoxic
cell__1910	Ductal - MHC Class II
cell__1911	Ductal - CRISP3 high/centroacinar like
cell__1912	Ductal - MHC Class II
cell__1913	Tuft cells
cell__1914	T cells & NK cells
cell__1915	Ductal - terminal ductal like
cell__1916	Cancer clone B
cell__1917	Ductal - MHC Class II
cell__1918	Ductal - CRISP3 high/centroacinar like
cell__1919	Ductal - CRISP3 high/centroacinar like
cell__1920	Ductal - terminal ductal like
cell__1921	Ductal - MHC Class II
cell__1922	T cells & NK cells
cell__1923	Acinar cells
cell__1924	Ductal - terminal ductal like
cell__1925	pDCs
cell__1926	RBCs
